exon	gene	chrom	exon_type	strand	exon_len	exon_start	exon_end	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	intergenic_5p_len	intergenic_3p_len	5p_end	5p_elements	3p_end	3p_elements	rec_region_start	rec_region_end	avg_rec_rate	numbp50	numbp75	length_5p	length_3p	divergence
NC_000001.10-1533388-1535476	FNDC10	NC_000001.10	protein_coding	-	2088	1533388	1535476	1535477	1550794	1510263	1533387	15318	23125	NA	none	NA	none	1511104	1645366	1.741705555769231	1856	11765	15318	23125	0.0009573958831977022
NC_000001.10-9427507-9429591	SPSB1	NC_000001.10	protein_coding	+	2084	9427507	9429591	9416645	9427506	9429592	9485152	10862	55561	NA	none	NA	none	9424709	9437812	1.4233441539130438	2511	14031	10862	55561	0.0019184652278177458
NC_000001.10-9908334-9910834	CTNNBIP1	NC_000001.10	protein_coding	-	2500	9908334	9910834	9910835	9931244	9884585	9908333	20410	23749	NA	none	NA	none	9904151	9916917	3.2248562969841266	718	6943	20410	23749	0.001599360255897641
NC_000001.10-16111043-16113084	FBLIM1	NC_000001.10	protein_coding	+	2041	16111043	16113084	16103783	16111042	16113085	16119221	7260	6137	NA	none	NA	none	16106523	16114457	2.878658022571429	771	7208	7260	6137	0.0014691478942213516
NC_000001.10-18807424-18812493	KLHDC7A	NC_000001.10	protein_coding	+	5069	18807424	18812493	18704978	18807423	18812494	18839499	102446	27006	NA	none	NA	none	18778348	18877787	2.255935463361111	2065	12564	102446	27006	0.003747534516765286
NC_000001.10-20878932-20881513	FAM43B	NC_000001.10	protein_coding	+	2581	20878932	20881513	20853304	20878931	20881514	20915443	25628	33930	NA	none	NA	none	20871836	20889191	2.202489063541667	1421	10111	25628	33930	0.001549186676994578
NC_000001.10-23518388-23521222	HTR1D	NC_000001.10	protein_coding	-	2834	23518388	23521222	23521223	23571221	23495352	23518387	49999	23036	NA	none	NA	none	23518405	23521212	0.8926181902777776	5072	21726	49999	23036	0.0021164021164021165
NC_000001.10-62626580-62629592	PATJ	NC_000001.10	protein_coding	+	3012	62626580	62629592	62614063	62626579	62629593	62654768	12517	25176	NA	none	NA	none	62626031	62635274	2.1264615019444446	1639	10966	12517	25176	0.0009956853634251576
NC_000001.10-70724685-70728530	ANKRD13C	NC_000001.10	protein_coding	-	3845	70724685	70728530	70728531	70736538	70717704	70724684	8008	6981	NA	none	NA	none	70716555	70738250	4.308309089056602	611	6389	8008	6981	0.0005200208008320333
NC_000001.10-71868625-71873253	NEGR1	NC_000001.10	protein_coding	-	4628	71868625	71873253	71873254	72058499	71703407	71868624	185246	165218	NA	none	NA	none	71867242	71875128	1.7284774459740258	2778	14931	185246	165218	0.0019442644199611147
NC_000001.10-79002091-79006386	PTGFR	NC_000001.10	protein_coding	+	4295	79002091	79006386	78963630	79002090	79006387	79086066	38461	79680	NA	none	NA	none	79001698	79008100	4.691736924590164	583	6245	38461	79680	0.003026070763500931
NC_000001.10-92145900-92149414	TGFBR3	NC_000001.10	protein_coding	-	3514	92145900	92149414	92149415	92161228	92109899	92145899	11814	36001	NA	none	NA	none	92144511	92167703	5.890760247619047	306	4428	11814	36001	0.0005689900426742532
NC_000001.10-92974253-92979527	EVI5	NC_000001.10	protein_coding	-	5274	92974253	92979527	92979528	93029198	92952434	92974252	49671	21819	NA	none	NA	none	92969334	92980916	1.4771887192266666	3607	17504	49671	21819	0.0005688282138794084
NC_000001.10-99355801-99358660	PLPPR5	NC_000001.10	protein_coding	-	2859	99355801	99358660	99358661	99380341	99226057	99355800	21681	129744	NA	none	NA	none	99354491	99359096	1.9081582962222219	1876	11843	21681	129744	0.001048951048951049
NC_000001.10-100983807-100985833	CDC14A	NC_000001.10	protein_coding	+	2026	100983807	100985833	100970494	100983806	100985834	101003727	13313	17894	NA	none	NA	none	100967163	100990177	1.5756245313428572	2138	12768	13313	17894	0.000986679822397632
NC_000001.10-107599267-107601916	PRMT6	NC_000001.10	protein_coding	+	2649	107599267	107601916	106434099	107599266	107601917	107682539	1165168	80623	106435745	phastConsE-106434321-106435745	NA	none	107596774	107602348	0.5019177989473685	9229	33361	1163521	80623	0.0015100037750094375
NC_000001.10-108023233-108027521	NTNG1	NC_000001.10	protein_coding	+	4288	108023233	108027521	107979422	108023232	108027522	108047749	43811	20228	NA	none	NA	none	108023361	108027521	1.2336036956140357	4049	18792	43811	20228	0.00023315458148752622
NC_000001.10-118065447-118068320	MAN1A2	NC_000001.10	protein_coding	+	2873	118065447	118068320	118045593	118065446	118068321	118139453	19854	71133	NA	none	NA	none	118065659	118068040	1.2458838636363636	3395	16828	19854	71133	0.0013917884481558804
NC_000001.10-119425666-119428139	TBX15	NC_000001.10	protein_coding	-	2473	119425666	119428139	119428140	119441650	119256488	119425665	13511	169178	NA	none	NA	none	119422113	119437972	3.094724831578948	769	7205	13511	169178	0.0004042037186742118
NC_000001.10-150618701-150621224	GOLPH3L	NC_000001.10	protein_coding	-	2523	150618701	150621224	150621225	150634289	150602099	150618700	13065	16602	NA	none	NA	none	150618811	150621133	1.3912436999999995	2788	14933	13065	16602	0.0003961965134706815
NC_000001.10-150702672-150705621	CTSS	NC_000001.10	protein_coding	-	2949	150702672	150705621	150705622	150720252	150693365	150702671	14631	9307	NA	none	NA	none	150697710	150707822	1.7029642745866667	2249	13155	14631	9307	0.001016949152542373
NC_000001.10-152732037-152734529	KPRP	NC_000001.10	protein_coding	+	2492	152732037	152734529	152692906	152732036	152734530	152748847	39131	14318	NA	none	NA	none	152731428	152740233	1.6435335305882348	2190	12948	39131	14318	0.001604492579221821
NC_000001.10-155447677-155452240	ASH1L	NC_000001.10	protein_coding	-	4563	155447677	155452240	155452241	155490890	155429690	155447676	38650	17987	NA	none	NA	none	155447715	155452233	2.5252011222222226	1648	11034	38650	17987	0.00043821209465381246
NC_000001.10-167757057-167761156	MPZL1	NC_000001.10	protein_coding	+	4099	167757057	167761156	167745404	167757056	167761157	167778624	11653	17468	NA	none	NA	none	167757088	167761099	1.727129759259259	2606	14365	11653	17468	0.00024390243902439024
NC_000001.10-172376912-172381857	DNM3	NC_000001.10	protein_coding	+	4945	172376912	172381857	172357950	172376911	172381858	172389827	18962	7970	NA	none	NA	none	172377000	172381398	3.016054308333334	1347	9863	18962	7970	0.001213101496158512
NC_000001.10-173152870-173156004	TNFSF4	NC_000001.10	protein_coding	-	3134	173152870	173156004	173156005	173174449	173111512	173152869	18445	41358	NA	none	NA	none	173152966	173155866	1.1428854849999999	3910	18372	18445	41358	0.0003189792663476874
NC_000001.10-175126123-175130282	KIAA0040	NC_000001.10	protein_coding	-	4159	175126123	175130282	175130283	175135697	175117203	175126122	5415	8920	NA	none	NA	none	175126223	175130244	7.962897791666669	200	3565	5415	8920	0.0002403846153846154
NC_000001.10-181057638-181059979	IER5	NC_000001.10	protein_coding	+	2341	181057638	181059979	181031075	181057637	181059980	181143619	26563	83640	NA	none	NA	none	181057872	181059760	1.2519029316666666	3130	16013	26563	83640	0.0017086715079026058
NC_000001.10-204586301-204589346	LRRN2	NC_000001.10	protein_coding	-	3045	204586301	204589346	204589347	204651997	204527249	204586300	62651	59052	NA	none	NA	none	204586591	204589101	1.3165534	3235	16339	62651	59052	0.0013131976362442547
NC_000001.10-215408171-215410436	KCNK2	NC_000001.10	protein_coding	+	2265	215408171	215410436	215368436	215408170	215410437	215549840	39735	139404	215383392	phastConsE-215382688-215383392	NA	none	215408779	215409400	3.6595933333333335	520	5835	24778	139404	0.0
NC_000001.10-216676588-216680525	ESRRG	NC_000001.10	protein_coding	-	3937	216676588	216680525	216680526	216692493	216596739	216676587	11968	79849	NA	none	NA	none	216677350	216679917	1.540454	2963	15504	11968	79849	0.001015744032503809
NC_000001.10-223282748-223286377	TLR5	NC_000001.10	protein_coding	-	3629	223282748	223286377	223286378	223305816	223179338	223282747	19439	103410	NA	none	NA	none	223215903	223333278	1.43395	3126	16007	19439	103410	0.0008264462809917355
NC_000001.10-223566715-223568812	CCDC185	NC_000001.10	protein_coding	+	2097	223566715	223568812	223537545	223566714	223568813	223714971	29170	146159	NA	none	NA	none	223567016	223567803	1.7118752499999998	1911	11961	29170	146159	0.0009532888465204957
NC_000001.10-231556744-231560790	EGLN1	NC_000001.10	protein_coding	-	4046	231556744	231560790	231560791	231611507	231509846	231556743	50717	46898	NA	none	NA	none	231556663	231561178	3.307143	1000	8350	50717	46898	0.001235483073881888
NC_000001.10-232940638-232946092	MAP10	NC_000001.10	protein_coding	+	5454	232940638	232946092	232878462	232940637	232946093	233086276	62176	140184	NA	none	NA	none	232940862	232945880	0.511693375	11009	38292	62176	140184	0.0010999083409715857
NC_000001.10-235710985-235715537	GNG4	NC_000001.10	protein_coding	-	4552	235710985	235715537	235715538	235747039	235667782	235710984	31502	43203	NA	none	NA	none	235711149	235715523	2.427366181818182	1741	11381	31502	43203	0.002415989457500549
NC_000001.10-240652873-240656776	GREM2	NC_000001.10	protein_coding	-	3903	240652873	240656776	240656777	240775183	240638490	240652872	118407	14383	NA	none	NA	none	240652947	240655344	3.571878333333333	856	7665	118407	14383	0.0015368852459016393
NC_000001.10-246829002-246831884	CNST	NC_000001.10	protein_coding	+	2882	246829002	246831884	246823637	246829001	246831885	246887377	5365	55493	NA	none	NA	none	246829616	246831356	3.4495739999999997	709	6901	5365	55493	0.002774887270204648
NC_000001.10-248039202-248043440	TRIM58	NC_000001.10	protein_coding	+	4238	248039202	248043440	248031366	248039201	248043441	248058888	7836	15448	NA	none	NA	none	248039294	248043345	2.50450375	1587	10793	7836	15448	0.0011795234725171032
NC_000002.11-7035909-7038363	RSAD2	NC_000002.11	protein_coding	+	2454	7035909	7038363	7030457	7035908	7038364	7052406	5452	14043	NA	none	NA	none	7010282	7208960	6.499692333870967	160	3145	5452	14043	0.002443991853360489
NC_000002.11-11052063-11054351	KCNF1	NC_000002.11	protein_coding	+	2288	11052063	11054351	11025245	11052062	11054352	11239976	26818	185625	NA	none	NA	none	11050264	11055929	4.0801778280555565	420	5207	26818	185625	0.0
