exon	region	chrom	start	end	strand	direction
exon1_FNDC10	exon	chr1	1533388	1535476	-	forward
exon1_FNDC10	5p	chr1	1535477	1542900	-	reverse
exon1_FNDC10	3p	chr1	1525964	1533387	-	forward
exon2_SPSB1	exon	chr1	9427507	9429591	+	forward
exon2_SPSB1	5p	chr1	9417463	9427506	+	forward
exon2_SPSB1	3p	chr1	9429592	9439635	+	reverse
exon3_CTNNBIP1	exon	chr1	9908334	9910834	-	forward
exon3_CTNNBIP1	5p	chr1	9910835	9913706	-	reverse
exon3_CTNNBIP1	3p	chr1	9905462	9908333	-	forward
exon4_FBLIM1	exon	chr1	16111043	16113084	+	forward
exon4_FBLIM1	5p	chr1	16107959	16111042	+	forward
exon4_FBLIM1	3p	chr1	16113085	16116168	+	reverse
exon5_KLHDC7A	exon	chr1	18807424	18812493	+	forward
exon5_KLHDC7A	5p	chr1	18799164	18807423	+	forward
exon5_KLHDC7A	3p	chr1	18812494	18820753	+	reverse
exon6_FAM43B	exon	chr1	20878932	20881513	+	forward
exon6_FAM43B	5p	chr1	20873248	20878931	+	forward
exon6_FAM43B	3p	chr1	20881514	20887197	+	reverse
exon7_HTR1D	exon	chr1	23518388	23521222	-	forward
exon7_HTR1D	5p	chr1	23521223	23541510	-	reverse
exon7_HTR1D	3p	chr1	23498100	23518387	-	forward
exon8_PATJ	exon	chr1	62626580	62629592	+	forward
exon8_PATJ	5p	chr1	62620024	62626579	+	forward
exon8_PATJ	3p	chr1	62629593	62636148	+	reverse
exon9_ANKRD13C	exon	chr1	70724685	70728530	-	forward
exon9_ANKRD13C	5p	chr1	70728531	70730974	-	reverse
exon9_ANKRD13C	3p	chr1	70722241	70724684	-	forward
exon10_NEGR1	exon	chr1	71868625	71873253	-	forward
exon10_NEGR1	5p	chr1	71873254	71884365	-	reverse
exon10_NEGR1	3p	chr1	71857513	71868624	-	forward
exon11_PTGFR	exon	chr1	79002091	79006386	+	forward
exon11_PTGFR	5p	chr1	78999759	79002090	+	forward
exon11_PTGFR	3p	chr1	79006387	79008718	+	reverse
exon12_TGFBR3	exon	chr1	92145900	92149414	-	forward
exon12_TGFBR3	5p	chr1	92149415	92150638	-	reverse
exon12_TGFBR3	3p	chr1	92144676	92145899	-	forward
exon13_EVI5	exon	chr1	92974253	92979527	-	forward
exon13_EVI5	5p	chr1	92979528	92993955	-	reverse
exon13_EVI5	3p	chr1	92959825	92974252	-	forward
exon14_PLPPR5	exon	chr1	99355801	99358660	-	forward
exon14_PLPPR5	5p	chr1	99358661	99366164	-	reverse
exon14_PLPPR5	3p	chr1	99348297	99355800	-	forward
exon15_CDC14A	exon	chr1	100983807	100985833	+	forward
exon15_CDC14A	5p	chr1	100975255	100983806	+	forward
exon15_CDC14A	3p	chr1	100985834	100994385	+	reverse
exon16_PRMT6	exon	chr1	107599267	107601916	+	forward
exon16_PRMT6	5p	chr1	107562351	107599266	+	forward
exon16_PRMT6	3p	chr1	107601917	107638832	+	reverse
exon17_NTNG1	exon	chr1	108023233	108027521	+	forward
exon17_NTNG1	5p	chr1	108007037	108023232	+	forward
exon17_NTNG1	3p	chr1	108027522	108043717	+	reverse
exon18_MAN1A2	exon	chr1	118065447	118068320	+	forward
exon18_MAN1A2	5p	chr1	118051867	118065446	+	forward
exon18_MAN1A2	3p	chr1	118068321	118081900	+	reverse
exon19_TBX15	exon	chr1	119425666	119428139	-	forward
exon19_TBX15	5p	chr1	119428140	119431215	-	reverse
exon19_TBX15	3p	chr1	119422590	119425665	-	forward
exon20_GOLPH3L	exon	chr1	150618701	150621224	-	forward
exon20_GOLPH3L	5p	chr1	150621225	150632376	-	reverse
exon20_GOLPH3L	3p	chr1	150607549	150618700	-	forward
exon21_CTSS	exon	chr1	150702672	150705621	-	forward
exon21_CTSS	5p	chr1	150705622	150714617	-	reverse
exon21_CTSS	3p	chr1	150693676	150702671	-	forward
exon22_KPRP	exon	chr1	152732037	152734529	+	forward
exon22_KPRP	5p	chr1	152723277	152732036	+	forward
exon22_KPRP	3p	chr1	152734530	152743289	+	reverse
exon23_ASH1L	exon	chr1	155447677	155452240	-	forward
exon23_ASH1L	5p	chr1	155452241	155458832	-	reverse
exon23_ASH1L	3p	chr1	155441085	155447676	-	forward
exon24_MPZL1	exon	chr1	167757057	167761156	+	forward
exon24_MPZL1	5p	chr1	167746633	167757056	+	forward
exon24_MPZL1	3p	chr1	167761157	167771580	+	reverse
exon25_DNM3	exon	chr1	172376912	172381857	+	forward
exon25_DNM3	5p	chr1	172371524	172376911	+	forward
exon25_DNM3	3p	chr1	172381858	172387245	+	reverse
exon26_TNFSF4	exon	chr1	173152870	173156004	-	forward
exon26_TNFSF4	5p	chr1	173156005	173171644	-	reverse
exon26_TNFSF4	3p	chr1	173137230	173152869	-	forward
exon27_KIAA0040	exon	chr1	175126123	175130282	-	forward
exon27_KIAA0040	5p	chr1	175130283	175131082	-	reverse
exon27_KIAA0040	3p	chr1	175125323	175126122	-	forward
exon28_IER5	exon	chr1	181057638	181059979	+	forward
exon28_IER5	5p	chr1	181045118	181057637	+	forward
exon28_IER5	3p	chr1	181059980	181072499	+	reverse
exon29_LRRN2	exon	chr1	204586301	204589346	-	forward
exon29_LRRN2	5p	chr1	204589347	204602286	-	reverse
exon29_LRRN2	3p	chr1	204573361	204586300	-	forward
exon30_KCNK2	exon	chr1	215408171	215410436	+	forward
exon30_KCNK2	5p	chr1	215406091	215408170	+	forward
exon30_KCNK2	3p	chr1	215410437	215412516	+	reverse
exon31_ESRRG	exon	chr1	216676588	216680525	-	forward
exon31_ESRRG	5p	chr1	216680526	216692377	-	reverse
exon31_ESRRG	3p	chr1	216664736	216676587	-	forward
exon32_TLR5	exon	chr1	223282748	223286377	-	forward
exon32_TLR5	5p	chr1	223286378	223298881	-	reverse
exon32_TLR5	3p	chr1	223270244	223282747	-	forward
exon33_CCDC185	exon	chr1	223566715	223568812	+	forward
exon33_CCDC185	5p	chr1	223559071	223566714	+	forward
exon33_CCDC185	3p	chr1	223568813	223576456	+	reverse
exon34_EGLN1	exon	chr1	231556744	231560790	-	forward
exon34_EGLN1	5p	chr1	231560791	231564790	-	reverse
exon34_EGLN1	3p	chr1	231552744	231556743	-	forward
exon35_MAP10	exon	chr1	232940638	232946092	+	forward
exon35_MAP10	5p	chr1	232896602	232940637	+	forward
exon35_MAP10	3p	chr1	232946093	232990128	+	reverse
exon36_GNG4	exon	chr1	235710985	235715537	-	forward
exon36_GNG4	5p	chr1	235715538	235722501	-	reverse
exon36_GNG4	3p	chr1	235704021	235710984	-	forward
exon37_GREM2	exon	chr1	240652873	240656776	-	forward
exon37_GREM2	5p	chr1	240656777	240660200	-	reverse
exon37_GREM2	3p	chr1	240649449	240652872	-	forward
exon38_CNST	exon	chr1	246829002	246831884	+	forward
exon38_CNST	5p	chr1	246826166	246829001	+	forward
exon38_CNST	3p	chr1	246831885	246834720	+	reverse
exon39_TRIM58	exon	chr1	248039202	248043440	+	forward
exon39_TRIM58	5p	chr1	248032854	248039201	+	forward
exon39_TRIM58	3p	chr1	248043441	248049788	+	reverse
exon40_RSAD2	exon	chr2	7035909	7038363	+	forward
exon40_RSAD2	5p	chr2	7035269	7035908	+	forward
exon40_RSAD2	3p	chr2	7038364	7039003	+	reverse
exon41_KCNF1	exon	chr2	11052063	11054351	+	forward
exon41_KCNF1	5p	chr2	11050383	11052062	+	forward
exon41_KCNF1	3p	chr2	11054352	11056031	+	reverse
exon42_KCNS3	exon	chr2	18112217	18114225	+	forward
exon42_KCNS3	5p	chr2	18103745	18112216	+	forward
exon42_KCNS3	3p	chr2	18114226	18122697	+	reverse
exon43_RHOB	exon	chr2	20646832	20649206	+	forward
exon43_RHOB	5p	chr2	20638648	20646831	+	forward
exon43_RHOB	3p	chr2	20649207	20657390	+	reverse
exon44_ASXL2	exon	chr2	25962253	25967345	-	forward
exon44_ASXL2	5p	chr2	25967346	25970357	-	reverse
exon44_ASXL2	3p	chr2	25959241	25962252	-	forward
exon45_KIF3C	exon	chr2	26203242	26205443	-	forward
exon45_KIF3C	5p	chr2	26205444	26211243	-	reverse
exon45_KIF3C	3p	chr2	26197442	26203241	-	forward
exon46_PPP1CB	exon	chr2	29022065	29025806	+	forward
exon46_PPP1CB	5p	chr2	29019593	29022064	+	forward
exon46_PPP1CB	3p	chr2	29025807	29028278	+	reverse
exon47_C2orf71	exon	chr2	29284556	29287933	-	forward
exon47_C2orf71	5p	chr2	29287934	29290505	-	reverse
exon47_C2orf71	3p	chr2	29281984	29284555	-	forward
exon48_LBH	exon	chr2	30480299	30482899	+	forward
exon48_LBH	5p	chr2	30463327	30480298	+	forward
exon48_LBH	3p	chr2	30482900	30499871	+	reverse
exon49_LCLAT1	exon	chr2	30862983	30867091	+	forward
exon49_LCLAT1	5p	chr2	30846379	30862982	+	forward
exon49_LCLAT1	3p	chr2	30867092	30883695	+	reverse
exon50_SPAST	exon	chr2	32379443	32382706	+	forward
exon50_SPAST	5p	chr2	32376331	32379442	+	forward
exon50_SPAST	3p	chr2	32382707	32385818	+	reverse
exon51_CDC42EP3	exon	chr2	37869025	37873965	-	forward
exon51_CDC42EP3	5p	chr2	37873966	37890121	-	reverse
exon51_CDC42EP3	3p	chr2	37852869	37869024	-	forward
exon52_PRKCE	exon	chr2	46411874	46415129	+	forward
exon52_PRKCE	5p	chr2	46402922	46411873	+	forward
exon52_PRKCE	3p	chr2	46415130	46424081	+	reverse
exon53_APLF	exon	chr2	68804952	68807294	+	forward
exon53_APLF	5p	chr2	68799224	68804951	+	forward
exon53_APLF	3p	chr2	68807295	68813022	+	reverse
exon54_ANTXR1	exon	chr2	69472357	69476459	+	forward
exon54_ANTXR1	5p	chr2	69469649	69472356	+	forward
exon54_ANTXR1	3p	chr2	69476460	69479167	+	reverse
exon55_SFXN5	exon	chr2	73169165	73172228	-	forward
exon55_SFXN5	5p	chr2	73172229	73173704	-	reverse
exon55_SFXN5	3p	chr2	73167689	73169164	-	forward
exon56_TET3	exon	chr2	74273405	74275538	+	forward
exon56_TET3	5p	chr2	74260353	74273404	+	forward
exon56_TET3	3p	chr2	74275539	74288590	+	reverse
exon57_RNF103	exon	chr2	86830516	86832541	-	forward
exon57_RNF103	5p	chr2	86832542	86837261	-	reverse
exon57_RNF103	3p	chr2	86825796	86830515	-	forward
exon58_SH3RF3	exon	chr2	110259080	110262213	+	forward
exon58_SH3RF3	5p	chr2	110235492	110259079	+	forward
exon58_SH3RF3	3p	chr2	110262214	110285801	+	reverse
exon59_CCDC93	exon	chr2	118673054	118677972	-	forward
exon59_CCDC93	5p	chr2	118677973	118682448	-	reverse
exon59_CCDC93	3p	chr2	118668578	118673053	-	forward
exon60_NXPH2	exon	chr2	139426727	139429235	-	forward
exon60_NXPH2	5p	chr2	139429236	139431231	-	reverse
exon60_NXPH2	3p	chr2	139424731	139426726	-	forward
exon61_KCNJ3	exon	chr2	155711239	155714864	+	forward
exon61_KCNJ3	5p	chr2	155681523	155711238	+	forward
exon61_KCNJ3	3p	chr2	155714865	155744580	+	reverse
exon62_SDPR	exon	chr2	192699031	192701443	-	forward
exon62_SDPR	5p	chr2	192701444	192710823	-	reverse
exon62_SDPR	3p	chr2	192689651	192699030	-	forward
exon63_SATB2	exon	chr2	200134223	200137395	-	forward
exon63_SATB2	5p	chr2	200137396	200137779	-	reverse
exon63_SATB2	3p	chr2	200133839	200134222	-	forward
exon64_PARD3B	exon	chr2	206480180	206484886	+	forward
exon64_PARD3B	5p	chr2	206465572	206480179	+	forward
exon64_PARD3B	3p	chr2	206484887	206499494	+	reverse
exon65_IRS1	exon	chr2	227596033	227600966	-	forward
exon65_IRS1	5p	chr2	227600967	227626982	-	reverse
exon65_IRS1	3p	chr2	227570017	227596032	-	forward
exon66_SH3BP4	exon	chr2	235949532	235951891	+	forward
exon66_SH3BP4	5p	chr2	235948820	235949531	+	forward
exon66_SH3BP4	3p	chr2	235951892	235952603	+	reverse
exon67_LRRN1	exon	chr3	3886048	3891518	+	forward
exon67_LRRN1	5p	chr3	3876612	3886047	+	forward
exon67_LRRN1	3p	chr3	3891519	3900954	+	reverse
exon68_RAD18	exon	chr3	8918880	8923143	-	forward
exon68_RAD18	5p	chr3	8923144	8927023	-	reverse
exon68_RAD18	3p	chr3	8915000	8918879	-	forward
exon69_HRH1	exon	chr3	11300689	11304939	+	forward
exon69_HRH1	5p	chr3	11298485	11300688	+	forward
exon69_HRH1	3p	chr3	11304940	11307143	+	reverse
exon70_FGD5	exon	chr3	14860469	14863103	+	forward
exon70_FGD5	5p	chr3	14858573	14860468	+	forward
exon70_FGD5	3p	chr3	14863104	14864999	+	reverse
exon71_NR1D2	exon	chr3	24018714	24022109	+	forward
exon71_NR1D2	5p	chr3	24012978	24018713	+	forward
exon71_NR1D2	3p	chr3	24022110	24027845	+	reverse
exon72_CX3CR1	exon	chr3	39304985	39308009	-	forward
exon72_CX3CR1	5p	chr3	39308010	39316853	-	reverse
exon72_CX3CR1	3p	chr3	39296141	39304984	-	forward
exon73_POMGNT2	exon	chr3	43120721	43123028	-	forward
exon73_POMGNT2	5p	chr3	43123029	43141968	-	reverse
exon73_POMGNT2	3p	chr3	43101781	43120720	-	forward
exon74_TCAIM	exon	chr3	44448934	44450940	+	forward
exon74_TCAIM	5p	chr3	44448362	44448933	+	forward
exon74_TCAIM	3p	chr3	44450941	44451512	+	reverse
exon75_ZNF660	exon	chr3	44635506	44637557	+	forward
exon75_ZNF660	5p	chr3	44634822	44635505	+	forward
exon75_ZNF660	3p	chr3	44637558	44638241	+	reverse
exon76_ZNF35	exon	chr3	44700193	44702283	+	forward
exon76_ZNF35	5p	chr3	44697949	44700192	+	forward
exon76_ZNF35	3p	chr3	44702284	44704527	+	reverse
exon77_ZPLD1	exon	chr3	102196287	102198685	+	forward
exon77_ZPLD1	5p	chr3	102190363	102196286	+	forward
exon77_ZPLD1	3p	chr3	102198686	102204609	+	reverse
exon78_CBLB	exon	chr3	105374305	105378073	-	forward
exon78_CBLB	5p	chr3	105378074	105386621	-	reverse
exon78_CBLB	3p	chr3	105365757	105374304	-	forward
exon79_SEC22A	exon	chr3	122990369	122992983	+	forward
exon79_SEC22A	5p	chr3	122985377	122990368	+	forward
exon79_SEC22A	3p	chr3	122992984	122997975	+	reverse
exon80_CCDC14	exon	chr3	123632269	123634565	-	forward
exon80_CCDC14	5p	chr3	123634566	123641741	-	reverse
exon80_CCDC14	3p	chr3	123625093	123632268	-	forward
exon81_PRR23C	exon	chr3	138760944	138763734	-	forward
exon81_PRR23C	5p	chr3	138763735	138778870	-	reverse
exon81_PRR23C	3p	chr3	138745808	138760943	-	forward
exon82_WWTR1	exon	chr3	149235022	149238776	-	forward
exon82_WWTR1	5p	chr3	149238777	149241376	-	reverse
exon82_WWTR1	3p	chr3	149232422	149235021	-	forward
exon83_COMMD2	exon	chr3	149456257	149459505	-	forward
exon83_COMMD2	5p	chr3	149459506	149465069	-	reverse
exon83_COMMD2	3p	chr3	149450693	149456256	-	forward
exon84_MME	exon	chr3	154898149	154901518	+	forward
exon84_MME	5p	chr3	154895977	154898148	+	forward
exon84_MME	3p	chr3	154901519	154903690	+	reverse
exon85_C3orf80	exon	chr3	159943423	159946000	+	forward
exon85_C3orf80	5p	chr3	159941503	159943422	+	forward
exon85_C3orf80	3p	chr3	159946001	159947920	+	reverse
exon86_FNDC3B	exon	chr3	172114954	172118493	+	forward
exon86_FNDC3B	5p	chr3	172109206	172114953	+	forward
exon86_FNDC3B	3p	chr3	172118494	172124241	+	reverse
exon87_C3orf70	exon	chr3	184795838	184801351	-	forward
exon87_C3orf70	5p	chr3	184801352	184812355	-	reverse
exon87_C3orf70	3p	chr3	184784834	184795837	-	forward
exon88_FGF12	exon	chr3	191857182	191861916	-	forward
exon88_FGF12	5p	chr3	191861917	191877212	-	reverse
exon88_FGF12	3p	chr3	191841886	191857181	-	forward
exon89_MB21D2	exon	chr3	192514604	192517439	-	forward
exon89_MB21D2	5p	chr3	192517440	192519695	-	reverse
exon89_MB21D2	3p	chr3	192512348	192514603	-	forward
exon90_FBXO45	exon	chr3	196311004	196315930	+	forward
exon90_FBXO45	5p	chr3	196307164	196311003	+	forward
exon90_FBXO45	3p	chr3	196315931	196319770	+	reverse
exon91_NRROS	exon	chr3	196386623	196388875	+	forward
exon91_NRROS	5p	chr3	196383719	196386622	+	forward
exon91_NRROS	3p	chr3	196388876	196391779	+	reverse
exon92_ZNF721	exon	chr4	433773	438221	-	forward
exon92_ZNF721	5p	chr4	438222	450189	-	reverse
exon92_ZNF721	3p	chr4	421805	433772	-	forward
exon93_WFS1	exon	chr4	6302384	6304992	+	forward
exon93_WFS1	5p	chr4	6298600	6302383	+	forward
exon93_WFS1	3p	chr4	6304993	6308776	+	reverse
exon94_PPP2R2C	exon	chr4	6322305	6325320	-	forward
exon94_PPP2R2C	5p	chr4	6325321	6328488	-	reverse
exon94_PPP2R2C	3p	chr4	6319137	6322304	-	forward
exon95_PSAPL1	exon	chr4	7432021	7436700	-	forward
exon95_PSAPL1	5p	chr4	7436701	7439820	-	reverse
exon95_PSAPL1	3p	chr4	7428901	7432020	-	forward
exon96_DRD5	exon	chr4	9783258	9785633	+	forward
exon96_DRD5	5p	chr4	9775854	9783257	+	forward
exon96_DRD5	3p	chr4	9785634	9793037	+	reverse
exon97_CD38	exon	chr4	15850162	15854866	+	forward
exon97_CD38	5p	chr4	15843026	15850161	+	forward
exon97_CD38	3p	chr4	15854867	15862002	+	reverse
exon98_PCDH7	exon	chr4	31144095	31148423	+	forward
exon98_PCDH7	5p	chr4	31123487	31144094	+	forward
exon98_PCDH7	3p	chr4	31148424	31169031	+	reverse
exon99_TLR6	exon	chr4	38825325	38831158	-	forward
exon99_TLR6	5p	chr4	38831159	38844898	-	reverse
exon99_TLR6	3p	chr4	38811585	38825324	-	forward
exon100_GABRG1	exon	chr4	46037786	46043271	-	forward
exon100_GABRG1	5p	chr4	46043272	46045411	-	reverse
exon100_GABRG1	3p	chr4	46035646	46037785	-	forward
exon101_SPATA18	exon	chr4	52961046	52963471	+	forward
exon101_SPATA18	5p	chr4	52959358	52961045	+	forward
exon101_SPATA18	3p	chr4	52963472	52965159	+	reverse
exon102_CEP135	exon	chr4	56897526	56899529	+	forward
exon102_CEP135	5p	chr4	56896190	56897525	+	forward
exon102_CEP135	3p	chr4	56899530	56900865	+	reverse
exon103_GNRHR	exon	chr4	68619532	68621804	-	forward
exon103_GNRHR	5p	chr4	68621805	68623464	-	reverse
exon103_GNRHR	3p	chr4	68617872	68619531	-	forward
exon104_MUC7	exon	chr4	71346516	71348714	+	forward
exon104_MUC7	5p	chr4	71345592	71346515	+	forward
exon104_MUC7	3p	chr4	71348715	71349638	+	reverse
exon105_UTP3	exon	chr4	71554196	71556268	+	forward
exon105_UTP3	5p	chr4	71552352	71554195	+	forward
exon105_UTP3	3p	chr4	71556269	71558112	+	reverse
exon106_PARM1	exon	chr4	75971373	75975325	+	forward
exon106_PARM1	5p	chr4	75961089	75971372	+	forward
exon106_PARM1	3p	chr4	75975326	75985609	+	reverse
exon107_RCHY1	exon	chr4	76404247	76407876	-	forward
exon107_RCHY1	5p	chr4	76407877	76412576	-	reverse
exon107_RCHY1	3p	chr4	76399547	76404246	-	forward
exon108_SHROOM3	exon	chr4	77659914	77663079	+	forward
exon108_SHROOM3	5p	chr4	77658526	77659913	+	forward
exon108_SHROOM3	3p	chr4	77663080	77664467	+	reverse
exon109_SOWAHB	exon	chr4	77816082	77819002	-	forward
exon109_SOWAHB	5p	chr4	77819003	77828190	-	reverse
exon109_SOWAHB	3p	chr4	77806894	77816081	-	forward
exon110_TIGD2	exon	chr4	90033968	90036052	+	forward
exon110_TIGD2	5p	chr4	90017568	90033967	+	forward
exon110_TIGD2	3p	chr4	90036053	90052452	+	reverse
exon111_GPRIN3	exon	chr4	90165429	90171384	-	forward
exon111_GPRIN3	5p	chr4	90171385	90177648	-	reverse
exon111_GPRIN3	3p	chr4	90159165	90165428	-	forward
exon112_CCSER1	exon	chr4	92519723	92523370	+	forward
exon112_CCSER1	5p	chr4	92494927	92519722	+	forward
exon112_CCSER1	3p	chr4	92523371	92548166	+	reverse
exon113_CXXC4	exon	chr4	105389463	105393523	-	forward
exon113_CXXC4	5p	chr4	105393524	105398495	-	reverse
exon113_CXXC4	3p	chr4	105384491	105389462	-	forward
exon114_ANK2	exon	chr4	114302613	114304896	+	forward
exon114_ANK2	5p	chr4	114295141	114302612	+	forward
